ID,TITULO,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS
1099084653,"Iphone 12 Pro Max, 256 GB, Graphite",R$ 6.000,Rio de Janeiro -  RJ,"Hoje, 20:54",https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-12-pro-max-256-gb-graphite-1099084653,2022-10-23
1100742919,Motorola Moto G7 Play,R$ 650,Canoas -  RS,"Hoje, 20:54",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/celulares/motorola-moto-g7-play-1100742919,2022-10-23
1100742895,iPhone ,R$ 900,Salvador -  BA,"Hoje, 20:54",https://ba.olx.com.br/grande-salvador/celulares/iphone-1100742895,2022-10-23
1100742892,Iphone 6s ,R$ 450,Palhoça -  SC,"Hoje, 20:54",https://sc.olx.com.br/florianopolis-e-regiao/celulares/iphone-6s-1100742892,2022-10-23
1073862676,Apple Watch 7 Até 12X ( Super Promoção Hoje!! ) Toda Linha Apple!!,R$ 2.380,Brasília -  DF,"Hoje, 20:54",https://df.olx.com.br/distrito-federal-e-regiao/celulares/apple-watch-7-ate-12x-super-promocao-hoje--toda-linha-apple-1073862676,2022-10-23
1100742865,iPhone 7plus ,R$ 920,Campinas -  SP,"Hoje, 20:54",https://sp.olx.com.br/grande-campinas/celulares/iphone-7plus-1100742865,2022-10-23
1037408731,IPHONE XSMAX 256 GB SEMI NOVOS DE VITRINE COM GARANTIA ,R$ 3.350,Belo Horizonte -  MG,"Hoje, 20:54",https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-xsmax-256-gb-semi-novos-de-vitrine-com-garantia-1037408731,2022-10-23
1058809777,iPhone X 64Gb Seminovo ,R$ 2.399,Porto Alegre -  RS,"Hoje, 20:54",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/celulares/iphone-x-64gb-seminovo-1058809777,2022-10-23
1100742843,iPhone 8 Plus 128gb 88 de bateria ,R$ 1.300,Rio de Janeiro -  RJ,"Hoje, 20:54",https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/iphone-8-plus-128gb-88-de-bateria-1100742843,2022-10-23
1100742837,iPhone 11 64 GB novo ,R$ 2.990,Santo Amaro da Imperatriz -  SC,"Hoje, 20:54",https://sc.olx.com.br/florianopolis-e-regiao/celulares/iphone-11-64-gb-novo-1100742837,2022-10-23
1023389133,IPHONE XS MAX 64 GB SEMI NOVOS ,R$ 3.250,Belo Horizonte -  MG,"Hoje, 20:54",https://mg.olx.com.br/belo-horizonte-e-regiao/celulares/iphone-xs-max-64-gb-semi-novos-1023389133,2022-10-23
1100742834,Iphone 6s,R$ 350,Juiz de Fora -  MG,"Hoje, 20:54",https://mg.olx.com.br/regiao-de-juiz-de-fora/celulares/iphone-6s-1100742834,2022-10-23
1100742828,Vendo Edge 20 Pro  (256 gb),R$ 2.300,Rio de Janeiro -  RJ,"Hoje, 20:53",https://rj.olx.com.br/rio-de-janeiro-e-regiao/celulares/vendo-edge-20-pro-256-gb-1100742828,2022-10-23
