Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;Ano
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;46523534045;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1006736309;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;341307064,2;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;01.032 - Controle Externo;siconfi-cor_TotalDespesas;250029924,3;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;377719083,8;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;37680237,18;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;2144419769;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;1583183848;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;02.122 - Administração Geral;siconfi-cor_TotalDespesas;357547939,5;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU02 - Demais Subfunções;siconfi-cor_TotalDespesas;203687981,6;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;1050906569;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;03.091 - Defesa da Ordem Jurídica;siconfi-cor_TotalDespesas;505705111,1;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;03.092 - Representação Judicial e Extrajudicial;siconfi-cor_TotalDespesas;147920133,1;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;311831330,8;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;85449994,43;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;1259995731;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;3075544,41;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;993901857,4;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;65526491,22;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;126529158,6;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04.128 - Formação de Recursos Humanos;siconfi-cor_TotalDespesas;60579;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;1682398,08;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;69219702,12;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;4321663327;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;06.181 - Policiamento;siconfi-cor_TotalDespesas;232915902,1;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;23393352,95;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;06.183 - Informação e Inteligência;siconfi-cor_TotalDespesas;9378921,46;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;3825203600;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;230771550,6;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;268155643,9;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;97392112,94;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;18065491,69;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;65608079,45;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;87089959,77;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;8693249369;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;8693249369;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;8358687975;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;94193196,45;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;6011400510;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;262073528,3;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;2592188,68;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;713146585,9;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;1123696192;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU10 - Demais Subfunções;siconfi-cor_TotalDespesas;151585773,7;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;11 - Trabalho;siconfi-cor_TotalDespesas;178093172;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;11.331 - Proteção e Benefícios ao Trabalhador;siconfi-cor_TotalDespesas;1680601,83;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;11.332 - Relações de Trabalho;siconfi-cor_TotalDespesas;783002,14;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;11.333 - Empregabilidade;siconfi-cor_TotalDespesas;93832800,51;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;11.334 - Fomento ao Trabalho;siconfi-cor_TotalDespesas;23504318,8;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;11.122 - Administração Geral;siconfi-cor_TotalDespesas;32333546,62;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;FU11 - Demais Subfunções;siconfi-cor_TotalDespesas;25958902,06;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;5104447958;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;900731773,7;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;12.362 - Ensino Médio;siconfi-cor_TotalDespesas;2017413247;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;12.363 - Ensino Profissional;siconfi-cor_TotalDespesas;14380197,42;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;12.364 - Ensino Superior;siconfi-cor_TotalDespesas;833553602,9;2020
Governo do Estado da Bahia;29;BA;14873064;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;17747,65;2020
