Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;Ano
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;16808633403;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;687932086,3;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;422143,98;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01.032 - Controle Externo;siconfi-cor_TotalDespesas;47728708,12;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;582546800,9;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;57234433,25;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;1221981755;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;56034548,72;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02.122 - Administração Geral;siconfi-cor_TotalDespesas;1086180647;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU02 - Demais Subfunções;siconfi-cor_TotalDespesas;79766558,96;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;491737900,3;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03.091 - Defesa da Ordem Jurídica;siconfi-cor_TotalDespesas;1536252,44;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;479164088,5;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;11037559,36;2017
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;932335114;2017
