Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;Ano
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;31754225585;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;825267443,2;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;59129792,06;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;01.032 - Controle Externo;siconfi-cor_TotalDespesas;238119886,3;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;428356283,2;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;99661481,6;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;1830013251;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;17377440,44;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;02.062 - Defesa do Interesse Público no Processo Judiciário;siconfi-cor_TotalDespesas;325204082,2;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;02.122 - Administração Geral;siconfi-cor_TotalDespesas;1304735927;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU02 - Demais Subfunções;siconfi-cor_TotalDespesas;182695801,1;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;1180117058;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;32713098,06;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;952968905,9;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;10934435,36;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;13907,13;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.125 - Normatização e Fiscalização;siconfi-cor_TotalDespesas;480836,96;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;49209152,93;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.128 - Formação de Recursos Humanos;siconfi-cor_TotalDespesas;8528051,59;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.129 - Administração de Receitas;siconfi-cor_TotalDespesas;32342762,11;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;46364269,1;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;46561638,83;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2892252835;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;06.181 - Policiamento;siconfi-cor_TotalDespesas;2436588796;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;270305437,6;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;06.183 - Informação e Inteligência;siconfi-cor_TotalDespesas;494992;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;76601498,57;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;108262110,7;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;35646324,65;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;08.242 - Assistência ao Portador de Deficiência;siconfi-cor_TotalDespesas;14638999,93;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;5034019,1;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;8024264,12;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;7949041,5;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;6333172648;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;6305422212;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;09.122 - Administração Geral;siconfi-cor_TotalDespesas;13579787,92;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU09 - Demais Subfunções;siconfi-cor_TotalDespesas;14170648,12;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;5315001893;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;22760941,89;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;4788460444;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;168134137,8;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;2186872,29;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;29545462,9;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;241050390,8;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU10 - Demais Subfunções;siconfi-cor_TotalDespesas;62863642,89;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;11 - Trabalho;siconfi-cor_TotalDespesas;270985362;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;11.331 - Proteção e Benefícios ao Trabalhador;siconfi-cor_TotalDespesas;27841,42;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;11.333 - Empregabilidade;siconfi-cor_TotalDespesas;2840549,26;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;11.334 - Fomento ao Trabalho;siconfi-cor_TotalDespesas;9494044,39;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;11.122 - Administração Geral;siconfi-cor_TotalDespesas;7094255,45;2019
Governo do Estado de Pernambuco;26;PE;9496294;Despesas Empenhadas;FU11 - Demais Subfunções;siconfi-cor_TotalDespesas;251528671,5;2019
