Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor;Ano
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;17199441859;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;739689951,3;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;42211494,05;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01.032 - Controle Externo;siconfi-cor_TotalDespesas;39399777,41;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;01.122 - Administração Geral;siconfi-cor_TotalDespesas;559248199,7;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU01 - Demais Subfunções;siconfi-cor_TotalDespesas;98830480,17;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;1253617656;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;95320002,41;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02.062 - Defesa do Interesse Público no Processo Judiciário;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;02.122 - Administração Geral;siconfi-cor_TotalDespesas;1070477137;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU02 - Demais Subfunções;siconfi-cor_TotalDespesas;87820516,55;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03 - Essencial à Justiça;siconfi-cor_TotalDespesas;469424134,1;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03.091 - Defesa da Ordem Jurídica;siconfi-cor_TotalDespesas;1452144,95;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03.092 - Representação Judicial e Extrajudicial;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;03.122 - Administração Geral;siconfi-cor_TotalDespesas;451703296,2;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU03 - Demais Subfunções;siconfi-cor_TotalDespesas;16268692,89;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;915702105,9;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;41593,36;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;821766487,3;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;17020580,19;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;3808315,07;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.125 - Normatização e Fiscalização;siconfi-cor_TotalDespesas;269691,44;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.126 - Tecnologia da Informação;siconfi-cor_TotalDespesas;29451036,1;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.127 - Ordenamento Territorial;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.128 - Formação de Recursos Humanos;siconfi-cor_TotalDespesas;757589,16;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.129 - Administração de Receitas;siconfi-cor_TotalDespesas;19183950,59;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.130 - Administração de Concessões;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;19979755,08;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;3423107,64;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;05 - Defesa Nacional;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;05.151 - Defesa Área;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;05.152 - Defesa Naval;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;05.153 - Defesa Terrestre;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;05.122 - Administração Geral;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU05 - Demais Subfunções;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;06 - Segurança Pública;siconfi-cor_TotalDespesas;2058639851;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;06.181 - Policiamento;siconfi-cor_TotalDespesas;52526931,07;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;06.182 - Defesa Civil;siconfi-cor_TotalDespesas;6856701,09;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;06.183 - Informação e Inteligência;siconfi-cor_TotalDespesas;9648027,74;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;06.122 - Administração Geral;siconfi-cor_TotalDespesas;1948025907;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU06 - Demais Subfunções;siconfi-cor_TotalDespesas;41582284,03;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;07 - Relações Exteriores;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;07.211 - Relações Diplomáticas;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;07.212 - Cooperação Internacional;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;07.122 - Administração Geral;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU07 - Demais Subfunções;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;19253801,21;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;08.242 - Assistência ao Portador de Deficiência;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;6547848,57;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;12705952,64;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;3781807532;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;3753098422;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;09.273 - Previdência Complementar;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;09.274 - Previdência Especial;siconfi-cor_TotalDespesas;0;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;09.122 - Administração Geral;siconfi-cor_TotalDespesas;16870761,9;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;FU09 - Demais Subfunções;siconfi-cor_TotalDespesas;11838348,19;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;1823144612;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;68486740,54;2018
Governo do Estado do Mato Grosso;51;MT;3305531;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;722415730,2;2018
